group,filename,page_url,download_url,license,attribution,notes
core/real_time_detection,busy_intersection_unsplash.jpg,https://unsplash.com/photos/birds-eye-view-of-a-busy-city-intersection-S___NBJSno0,https://unsplash.com/photos/S___NBJSno0/download?force=true,Unsplash License,Unsplash / S___NBJSno0,Use Unsplash download endpoint.
core/instance_segmentation,supermarket_shelves_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:Faced_products_on_a_supermarket_shelf.JPG,https://upload.wikimedia.org/wikipedia/commons/0/0f/Faced_products_on_a_supermarket_shelf.JPG,CC BY-SA 3.0,Wikimedia Commons,Dense instances on shelves.
core/image_classification,city_street_unsplash.jpg,https://unsplash.com/photos/busy-city-street-with-pedestrians-and-vehicles-crossing-intersection-IH3kVwdbisE,https://unsplash.com/photos/IH3kVwdbisE/download?force=true,Unsplash License,Unsplash / IH3kVwdbisE,
core/pose_keypoint,overhead_crosswalk_unsplash.jpg,https://unsplash.com/photos/people-crossing-a-busy-street-intersection-from-above-WVFQv92z_as,https://unsplash.com/photos/WVFQv92z_as/download?force=true,Unsplash License,Unsplash / WVFQv92z_as,
core/oriented_detection,aerial_fields_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:120627-A-LE308-009.jpg,https://upload.wikimedia.org/wikipedia/commons/8/80/120627-A-LE308-009.jpg,Public domain (US Army),Sgt. Kimberly Lamb (U.S. Army),Great for rotated boxes from aerial.
video/mot_cctv,night_crowd_unsplash.jpg,https://unsplash.com/photos/cctv-footage-highlights-and-tracks-people-in-a-crowd-IxWQiQjSxsc,https://unsplash.com/photos/IxWQiQjSxsc/download?force=true,Unsplash License,Unsplash / IxWQiQjSxsc,
video/people_counting,overhead_crosswalk_unsplash_dup.jpg,https://unsplash.com/photos/people-crossing-a-busy-street-intersection-from-above-WVFQv92z_as,https://unsplash.com/photos/WVFQv92z_as/download?force=true,Unsplash License,Unsplash / WVFQv92z_as,Same asset for counting use-case.
video/zone_intrusion,lobby_escalator_unsplash.jpg,https://unsplash.com/photos/surveillance-camera-footage-shows-people-in-a-building-ARwq5tGGyvQ,https://unsplash.com/photos/ARwq5tGGyvQ/download?force=true,Unsplash License,Unsplash / ARwq5tGGyvQ,
video/ppe_action,helmet_worker_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:Construction_Worker_-_Flickr_-_Saad.Akhtar.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2d/Construction_Worker_-_Flickr_-_Saad.Akhtar.jpg,CC BY 2.0,Saad Akhtar (Flickr via Commons),Good for PPE (helmet) compliance.
industry/autonomous_driving,aerial_intersection_unsplash.jpg,https://unsplash.com/photos/aerial-view-of-a-bustling-city-intersection-acLp1oYUsUc,https://unsplash.com/photos/acLp1oYUsUc/download?force=true,Unsplash License,Unsplash / acLp1oYUsUc,
industry/traffic_parking,parking_lot_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:Aerial_view_of_an_empty_car_parking_lot.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Aerial_view_of_an_empty_car_parking_lot.jpg,CC BY-SA 4.0,Gabriel Picard (Gacard),
industry/retail_shelves,grocery_shelves_wikimedia.jpg,https://commons.wikimedia.org/wiki/Category:Supermarket_shelves,https://upload.wikimedia.org/wikipedia/commons/0/0f/Faced_products_on_a_supermarket_shelf.JPG,CC BY-SA 3.0,Wikimedia Commons,Reuse the faced_products image for shelves.
industry/manufacturing_qc,factory_line_unsplash.jpg,https://unsplash.com/photos/factory-worker-and-engineer-doing-inspection-factory-worker-and-businesswoman-at-production-line-dVZaWyfE3UA,https://unsplash.com/photos/dVZaWyfE3UA/download?force=true,Unsplash License,Unsplash / dVZaWyfE3UA,
industry/logistics_warehouse,warehouse_forklift_unsplash.jpg,https://unsplash.com/photos/a-yellow-forklift-in-a-large-warehouse-82ZiY5pzl1c,https://unsplash.com/photos/82ZiY5pzl1c/download?force=true,Unsplash License,Unsplash / 82ZiY5pzl1c,
industry/construction_safety_violation,no_fall_protection_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:Construction_workers_not_wearing_fall_protection_equipment.jpg,https://upload.wikimedia.org/wikipedia/commons/9/96/Construction_workers_not_wearing_fall_protection_equipment.jpg,Public domain (NIOSH/CDC),NIOSH (CDC),
industry/security_surveillance,cctv_camera_unsplash.jpg,https://unsplash.com/photos/a-security-camera-is-watching-2E9BKrpMQaY,https://unsplash.com/photos/2E9BKrpMQaY/download?force=true,Unsplash License,Unsplash / 2E9BKrpMQaY,
industry/healthcare_polyp,endoscopic_polyp_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:Polyp.jpeg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Polyp.jpeg,CC BY 2.5,"Stephen Holland, M.D. (via Commons)",
industry/agriculture_drone,drone_field_unsplash.jpg,https://unsplash.com/photos/an-aerial-view-of-a-farm-field-with-two-rows-of-crops-y4kBr7-97gc,https://unsplash.com/photos/y4kBr7-97gc/download?force=true,Unsplash License,Unsplash / y4kBr7-97gc,
industry/wildlife_drone,aerial_wildlife_unsplash.jpg,https://unsplash.com/photos/aerial-photography-of-animals-near-tree-at-daytime-UCRu5bmzNVM,https://unsplash.com/photos/UCRu5bmzNVM/download?force=true,Unsplash License,Unsplash / UCRu5bmzNVM,
industry/sports_analytics,soccer_match_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:Football_match_at_Wincham_Park_Stadium_%28geograph_4383139%29.jpg,https://upload.wikimedia.org/wikipedia/commons/2/24/Football_match_at_Wincham_Park_Stadium_%28geograph_4383139%29.jpg,CC BY-SA 2.0,Bill Boaden (Geograph via Commons),
industry/document_barcode,scanning_barcode_wikimedia.jpg,https://commons.wikimedia.org/wiki/File:The_scanning_the_barcode_on_the_box.jpg,https://upload.wikimedia.org/wikipedia/commons/5/57/The_scanning_the_barcode_on_the_box.jpg,CC BY-SA 3.0,Mingjunli,
